麻婆豆腐 皮蛋豆腐
包青天 狄仁杰
大白兔 金丝猴
沐浴露 沐浴盐
洗发露 护发素
自行车 电动车
班主任 辅导员
铁观音 碧螺春
鹅毛 鸡毛
盒子 箱子
蝴蝶 飞蛾
皇帝 太子
鸡蛋 鸭蛋
饺子 包子
卷发 直发
脸盆 水桶
楼梯 电梯
绿茶 苦茶
妈妈 母亲
端午节 中秋节
反弹琵琶 乱弹棉花
饭桶 饭碗
干洗机 甩干机
圆珠笔 中性笔
高跟鞋 增高鞋
孟飞 乐嘉
麻雀 乌鸦
胖子 肥肉
眉毛 胡须
何炅 维嘉
状元 冠军
摩托车 电动车
小矮人 葫芦娃
蜘蛛侠 蜘蛛精
节节高升 票房大卖
浴缸 鱼缸
电动车 摩托车
眉毛 睫毛
书 本
直尺 三角板
吴昕 谢娜
蒙牛 伊利
可口可乐 百事
加多宝 王老吉
门诊 急诊
天天向上 快乐大本营
电话 手机
粉丝 米线
电影 电视剧
爷爷 姥爷
天山老妖 东方不败
前男友 男朋友
零花钱 生活费
夜宵 烧烤
筷子 竹签
火车 轮船
镜子 玻璃
手 脚
笤帚 拖把
铅笔带 铅笔盒
那英 王菲
盗墓笔记 鬼吹灯
散文 小说
树枝 树干
古筝 吉他
玉米 小米
反射 折射
穿衣 试衣
梦境 幻想
屌丝 宅男
推销 销售
淘宝 拍拍
妩媚 百媚
盒饭 外卖
叉烧包 灌汤包
散热器 电风扇
伐木工 木匠工
点烟器 打火机
热的快 热水器
榨菜丝 萝卜头
老朋友 老男孩
王菲 那英
元芳 展昭
吸血鬼 僵尸
公交车 出租车
龙腾虎跃 龙争虎斗
法海 济公
祝英台 花木兰
110 119
人参果 王母蟠桃
口若悬河 画饼充饥
金字塔 狮身人面像
瀑布 冰川
飞行员 宇航员
王祖贤 林青霞
诸葛亮 周瑜
高富帅 白富美
K歌之王 麦霸
飞轮海 五月天
基友 好友
葵花宝典 辟邪剑谱
苍井空 松岛枫
与世无争 看破红尘
格格 公主 唐伯虎 韦小宝
美杜莎 美人鱼
香奈儿 迪奥
屠龙刀 倚天剑
机器猫 加菲猫
陈奕迅 张学友
扑克牌 塔罗牌
初吻 初恋
蕾丝 黑丝
美人痣 青春痘
春秋五霸 战国七雄
移花接木 斗转星移
定滑轮 动滑轮
食人族 食人鱼
芙蓉姐姐 凤姐
仙剑奇侠传 轩辕剑
胡说八道 语无伦次
玛丽莲梦露 奥黛丽赫本
西门吹雪 叶孤城
施瓦辛格 史泰龙
格格 公主
唐伯虎 韦小宝
妈妈 娘
钢笔 中性笔
皮蛋豆腐 日本豆腐
丑小鸭 白天鹅
灰姑娘 公主
姹紫嫣红 万紫千红
百花齐放 花团锦簇
辩论 辩解
葡萄酒 鸡尾酒
白酒 啤酒
薯条 菠萝派
汉堡 可乐
麦当劳 肯德基
必胜客 麦当劳
中考 会考
劳心 费心
省心 放心
卧底 内奸
眼线 特务
讼师 律师
白富美 矮穷挫
八路军 新四军
伪军 日军
画报 海报
褒奖 褒扬
帮手 帮凶
牛奶 奶牛
依恋 眷恋
反恐精英 战地之王
淘宝网 当当网
搜狗 雅虎
起点小说 百度文库
茶艺 厨艺
爆竹 烟花
动物园 海洋公园
菜园 花园
发票 收据
说明 解释
解释 掩饰
掩饰 隐瞒
鲸鱼 鲨鱼
金山毒霸 卡巴斯基
联想 戴尔
打针 输液
冰激凌 冰淇淋
草莓 蓝莓
桑果 树莓
黄桃 蟠桃
观音 如来
可爱 敬爱
晕倒 休克
军人 警察
窗帘 床单
相机 机
黑发 卷发
衣柜 书柜
篮球队 排球队
教材全解 教材全练
报纸 杂志
日记 作文
小学 中学
考试 测验
活动 实践
笑傲江湖 武林外传
大话西游 天龙八部
寻仙 画皮
刀塔 英雄联盟
奥比 摩尔
口袋怪兽 摩尔庄园
吸血鬼 狼人杀
广东 广州
物理 化学
波斯猫 加菲猫
米奇鼠 唐老鸭
天黑请闭眼 杀人游戏
高跟鞋 平底鞋
雪地靴 运动鞋
皇帝 黄帝
世袭制 禅让制
木星 土星
天秤座 双子座
高傲 冷傲
电灯 壁灯
松树 柏树
大兴安岭 小兴安岭
英国 美国
油画 素描
改名卡 清零卡
族长 副族
衣服 套装
念她 想他
小葱 蒜苗
黄豆 绿豆
预言家 守护者
丘比特 月老
夏娃 女娲
苹果 梨子
菠菜 菠萝
日历 月历
姨妈 舅妈
果粒橙 美汁源
可口可乐 百事可乐
雀巢咖啡 麦斯威尔
商 汤
秦始皇 汉武帝
阿玛 皇阿玛
皇额娘 老佛爷
紫薇 晴儿
福尔康 福尔泰
香妃 令妃
大人 老爷
元芳体 陈欧体
仙人掌 仙人球
香草 香菜
纯净水 矿泉水
离婚 失恋
眼镜 美瞳
游戏 娱乐
天涯 海角
西瓜 南瓜
萝莉 御姐
香蕉 芭蕉
家乡 故乡
绿色 青色
工具 用具
花瓶 花盆
书包 背包
步步惊心 步步惊情
西瓜 冬瓜
密码 号码
水杯 茶杯
淘宝 天猫
白兔 黑兔
老家 家乡
飞掉 踹掉
鞋子 袜子
别动 表动
黑色 白色
返回 回复
服装 衣服
短靴 长靴
圣诞节 端午节
牛奶 汽水
小三 老婆
口香糖 润喉片
耳机 话筒
电影院
腾讯 歪歪
手机 电脑
洗发水 沐浴露
高兴 悲伤
画画 唱歌
屈臣氏 沃尔玛
美宝莲 美肤宝
卷纸 湿巾
国画 油画
爱人 朋友
美女 帅哥
东方不败 天山童姥
小龙女 王语嫣
赵灵儿 唐雪见
陈美嘉 林宛瑜
凤凰传奇 飞儿乐队
大张伟 陈志朋
卧底 间谍
散步 漫步
抓狂 发狂
漂流 流荡
老师 教师
超短裤 三分裤
发言 说话
讨论 交流
头像 肖像
动物 生物
权利 权益
动漫 漫画
负号 减号
游戏 网游
脊椎 背部
调料 作料
音乐 歌曲
照相机 拍立得
柜子 抽屉
文字 汉字
结婚 成亲
开放 外向
勋章 徽章
荣誉 荣耀
背包 书包
裙子 裤子
书本 课本
开心 快乐
棉衣 毛衣
外衣 大衣
电脑 电视
菊花茶 菊花台
大西洋 太平洋
彩票 股票
王老吉 冰红茶
哇哈哈 爽歪歪
汪涵 何炅
劲舞 炫舞
电磁炉 电饭煲
骨灰盒 烟灰缸
僵尸 丧尸
一模一样 一心一意
左思 又想
外强中干 表里不一
鲸鱼 大象
热狗 酷狗
煤 柴
泳池 浴缸
瓜子 花生
糖葫芦 羊肉串
消防车 救护车
爱慕 仰慕
喜洋洋 灰太狼
严寒 酷暑
火箭 飞机
围棋 象棋
西游记 水浒传
藏獒 狮子
螃蟹 蜈蚣
牙刷 牙膏
香皂 肥皂
日记 笔记
咖啡 拿铁
手机 电话
茶杯 水杯
荷花 莲花
薯片 薯条
汉堡 热狗
巧克力 可可粉
酸菜面 卤肉面
奥比岛 奥拉星
口香糖 泡泡糖
王老吉 加多宝
摄像头 照相机
胖乎乎 圆嘟嘟
五颜六色 五光十色
浮云 白云
胡椒粉 辣椒油
方便面 热干面
宅男 屌丝
天黑黑 天黑请闭眼
一见钟情 日久生情
宿命 命运
月老 红娘
暗爽 窃喜
红玫瑰 紫百合
掩耳盗铃 一叶障目
减肥 增肥
腼腆 含蓄
反悔 后悔
食言 谎言
手帕 纸巾
斗地主 打麻将
表情 心情
飞行棋 五子棋
军训 当兵
舞蹈 瑜伽
蹦极 跳伞
童话 小说
是非 对错
连衣裙 公主裙
牛仔裤 休闲裤
快递 邮寄
热水袋 电热毯
恋爱 结婚
图片 照片
拍照 摄影
印刷 复印
傻瓜 傻子
笑容 微笑
阿狸 桃子
水蜜桃 油桃
吃货 痴货
项链 手链
生气 愤怒
高兴 开心
中秋 春节
情人节 七夕节
天下 江山
蜘蛛精 白骨精
牙刷 鞋刷
茉莉 百合
收音机 录音机
灯管 灯泡
单身 光棍
主席 总统
长江三角洲 珠江三角洲
泳裤 内裤
悬疑片 惊悚片
卡丁车 卡车
会员卡 优惠劵
耳罩 口罩
妇女节 母亲节
花露水 风油精
赵本山 小沈阳
台灯 吊灯
矿泉水 纯净水
铁观音 龙井茶
桂林 丽江
黄河 长江
李宇春 周笔畅
狮子座 最天使
茶叶蛋 荷包蛋
会计 出纳
火锅 烧烤
超级女声 我是歌手
桂林米粉 过桥米线
蚊香 蚊拍
监视器 摄像头
手镯 项链
蛋糕 面包
惊恐 惊讶
咖啡 可乐
飞船 飞机
弓箭 飞镖
聚会 开会
基友 腐女
鸣人 九尾
橡皮擦 橡皮泥
荒无人烟 人迹罕至
游泳圈 救生衣
貂蝉 西施
蜘蛛 蟑螂
照相机 摄影机
日语 韩语
少女怀春 情窦初开
凝聚 凝结
松树 柳树
完璧归赵 负荆请罪
号角 战鼓
恍然大悟 豁然开朗
节节高升 蒸蒸日上
舞厅 歌厅
风云 风波
胡萝卜 红萝卜
占卜 算命
油画 国画
名牌 品牌
眼线笔 眼线液
香奈儿 夏奈尔
青花瓷 青花瓷酒
普洱茶 普洱市
平平淡淡 平平凡凡
没心没肺 狼心狗肺
丢三落四 不三不四
灰姑娘 白雪公主
睡眼朦胧 睡眼惺忪
中秋节 端午节
火车站 飞机场
任性 撒娇
鼠标 键盘
百事可乐 可口可乐
电影 电视
三国演义 水浒传
红楼梦 西厢记
薰衣草 向日葵
老虎 狮子
香奈儿 普拉达
手表 怀表
眼镜 墨镜
珍珠 钻石
西服 夹克
高富帅 美富白
土星 火星
悬疑片 恐怖片
钟欣桐 蔡卓妍
牙齿 舌头
冰雪皇后 哈根达斯
营养快线 果粒奶优
宽松 宽敞
命中注定 一见钟情
淡妆 浓妆
自动档 手动挡
一模一样 有模有样
兴高采烈 高高兴兴
嘴巴 嘴唇
手臂 胳膊
零食 食品
肚兜 围兜
奶酪 牛奶
亲戚 亲人
离开 离别
玉米 糯米
雨鞋 雨靴
成功 胜利
公园 花园
皇后 嫔妃
冰红茶 冰绿茶
喜欢 喜爱
唱歌 音乐
神奇 奇妙
欣赏 观赏
后宫甄嬛传 后宫如懿传
沈眉庄 沈雁容
杯具 茶具
发现 发觉
敬佩 佩服
抚琴 弹琴
神经病 精神病
水杯 水瓶
礼物 衣物
充电器 数据线
玉树临风 风流倜傥
财迷心窍 爱财如命
病入膏肓 命不久矣
闭目养神 修身养性
众所周知 家喻户晓
世外桃源 人间仙境
天崩地裂 天塌地陷
墨守成规 一尘不变
穷凶极恶 心狠手辣
沉冤得雪 真相大白
穷途末路 山穷水尽
柳暗花明 绝处逢生
余音绕梁 莺声燕语
千钧一发 刻不容缓
一败涂地 一事无成
手足相残 六亲不认
两情相悦 情投意合
海誓山盟 情深似海
小心翼翼 鬼鬼祟祟
醉生梦死 纸醉金迷
兔死狗烹 卸磨杀驴
朝思暮想 牵肠挂肚
坐立不安 寝室难耐
惊涛骇浪 波涛汹涌
勒索 敲诈
歹徒 劫匪
咳嗽 哮喘
残疾 残废
前车之鉴 先见之明
女仆 管家
苹果 三星
皮衣 皮袄
退伍 退休
保证 发誓
语文 英文
屌丝 女神
棒棒糖 泡泡糖
烧烤 夜宵
鲨鱼 海豚
漂亮 美丽
奇葩 奇花
睡衣 睡袍
元方 展昭
忠诚 忠实
微小 微观
放大镜 显微镜
慷慨 大方
黑带 红黑带
清新 淡雅
和蔼 温和
耻笑 嘲笑
良好 优良
彩色 彩虹
护士 医生
拉布拉多 金毛
曾志伟 梁朝伟
京巴 腊肠
贵妇人 吉娃娃
李宗伟 陶菲克
馄饨 饺子
馒头 花卷
世界杯 世锦赛
可惜不是你 会呼吸的痛
非诚勿扰 非你莫属
张绍刚 郭德纲
羽泉 水木年华
洞庭湖 鄱阳湖
吐鲁番 柴达木
荷兰 波兰
快船 湖人
艾薇儿 麦当娜
许巍 汪峰
甲醇 甲醛
正大光明 明镜高悬
包拯 海瑞
纯属路过 打酱油的
巧合 碰巧
狼王 龙王
得瑟 炫耀
生气 发怒
板蓝根 安瑞克
露水 雨水
木棍 枝干
黄牛 水牛
乐事 可比克
安培 伏特
瓦特 焦耳
博尔特 罗伯特
宾汉姆 塞尔比
齐白石 徐悲鸿
李小龙 黄飞鸿
毕福剑 白岩松
腊八粥 八宝粥
泡沫 浪花
被迫 被逼
跳皮筋 跳房子
胸肌 腹肌
贝多芬 莫扎特
监狱 大牢
陷害 碰瓷
梅艳芳 邓丽君
多啦 梦 蜡笔小新
纯真 天真
木瓜 蜜瓜
阿根廷 乌拉圭
抓狂 疯狂
剪切 复制
光芒 光明
净胜球 胜负场
完形填空 阅读理解
朱自清 闻一多
朱德 叶龙
大别山 井冈山
瓷器 陶器
还珠 甄嬛
八卦 太极
风铃 风笛
割腕 上吊
高秀敏 赵丽蓉
希特勒 墨索里尼
爱迪生 爱因斯坦
章西女王 玻利瓦尔
罗大佑 张震岳
哥们 闺蜜
方向 方位
曲一线 王后雄
欧若拉 潘多拉
鲁尼 罗本
于汉超 于大宝
命运 宿命
张思德 雷锋
走私 偷运
等待 期待
鲍鱼 海参
恩赐 恩典
感恩节 圣诞节
寓言 童话
郁金香 康乃馨
浮躁 狂躁
一瞬间 一刹那
蒲公英 狗尾草
地心 地核
信念 信仰
空空如也 空洞无物
流氓 无赖
眼镜蛇 响尾蛇
白鹭 朱鹭
百合 丁香
胡作非为 为非作歹
关押 羁押
蹦极 跳楼
牛刀小试 新手上路
俄罗斯 前苏联
牛奶 羊奶
苏宁 京东
凳子 椅子
玻璃门 玻璃窗
汉朝 唐朝
武则天 慈禧太后
陈明 辛晓琪
林志炫 黄绮珊
中国最强音 中国好声音
南山 崀山
沙滩 沙漠
陶瓷 瓷砖
泰囧 快乐到家
邮箱 微博
筷子 叉子
马克杯 高脚杯
蜻蜓 蝴蝶
医生 护士
打呼噜 打喷嚏
刷屏 刷机
啼笑皆非 哭笑不得
鸡飞狗跳 鸡犬不宁
口是心非 口腹蜜剑
举手之劳 举重若轻
高兴 快乐
红色 赤色
房子 屋子
美丽 漂亮
师兄 师哥
闺蜜 死党
最初 最始
新手 菜鸟
淘宝 东京
酷狗 酷我
妖魔鬼怪 魑魅魍魉
摄影 拍照
打印机 扫描仪
黑板 白板
证书 奖状
暴雨 阵雨
抑扬顿挫 慷慨激昂
成功 成就
生意 买卖
跑龙套 打酱油
抵押 质押
挂历 台历
妖言惑众 诡辞欺世
盘问 询问
橄榄球 排球
陌生 生疏
源由 原因
肉包 蛋糕
结婚 坐牢
考试 俯卧撑
冰箱 空调
腊肉 瘦子
月亮 路灯
画笔 口红
泰森 李小龙
牙膏 口香糖
乌龟 宠物犬
挨揍 批评
象棋 麻将
重播 直播
频道 电台
号码 数字
问候 声音
使者 门童
菜鸟 新手
道士 道尊
佛法 佛经
山西 陕西
苹果 平果
主机 服务器
化合反应 置换反应
傀儡 魔鬼
彳亍 前进
冷漠 凄清
方程 等式
函数 曲线
额手称庆 拍手叫好
北回归线 南回归线
甄嬛 华妃
宫锁珠帘 宫锁心玉
高考 考试
离子 分子
共价键 离子键
氢氧化钠 氢氧化钾
二氧化硫 二氧化氮
氕 氘
戴望舒 余光中
氧气 氢气
鲁迅 周树人
乙酸 乙醛
葡萄糖 麦芽糖
氨基 羧基
动漫 动画
熊猫 小熊猫
公路 小路
三鹿 施恩
白云 乌云
内衣 内裤
铃铛 叮当
守护甜心 黑执事
奶茶 果茶
火星 水星
皇帝 皇上
戏曲 京剧
品德 品质
纯净 纯洁
热恋 恋爱
工作 职业
歌星 歌手
相片 照片
音乐 音频
啤酒肚 宰相肚
白兰地 伏特加
谢娜 吴昕
如果 假如
贴吧 论坛
溺水 淹死
海洋 大海
喜欢　欢喜
文静　腼腆
擅长　善于
孤独症　自闭症
美丽　漂亮
卵生　双胞
玩偶　玩具
安静　沉默
谎言　欺骗
步行　走路
开始　起点
文章　作文
小叮当　机器猫
终点　结局
讨厌　厌倦
佘太君 花木兰
班长 班干部
翠花 桂花
元宵 元旦
汉堡 薯条
平民 百姓
闪电 雷电
妻子 老婆
香肠 热狗
钓鱼 捞鱼
亲人 亲友
服装 服饰
水杯 杯子
坏人 坏蛋
窗户 纱窗
二货 二逼
中国好声音 中国梦之声
李刚 李双江
杜甫 杜牧
贵妃醉酒 霸王别姬
楚汉争雄 三国鼎立
福建 福州
风筝 竹蜻蜓
公历 农历
罗马 以色列
风扇 扇子
孙悟空 沙和尚
防风衣 冲锋衣
肯德基 麦当劳
化学 物理
星巴克 肯德基
光盘 磁带
穿越火线 战争前线
周杰伦 周星驰
范冰冰 李冰冰
江户川柯南 江户川乱步
日本 韩国
复印机 打印机
苹果手机 三星手机
学历 文凭
黄色 绿色
灾难 灾害
柯南 小五郎
库洛里德 小樱
亚古兽 哥玛兽
千与千寻 龙猫
向左走 向右走
不免 未免
项羽 刘邦
樊哙 刘忻
苏打绿 五月天
河图 墨明棋妙
长安 南京
腾讯 新浪
哇哈哈 农夫山泉
铁海棠 猩猩草
仵作 法医
白居易 文天祥
长隆欢乐园 迪士尼乐园
几米 寂地
嫦娥 天宫
茉莉花 玫瑰
读者 哲思
苏格拉底 柏拉图
阿姆斯特朗 加加林
麦哲伦 哥伦布
人间喜剧 速度与激情
火烧赤壁 草船借箭
信口雌黄 信口开河
想入非非 异想天开
三角函数 解析几何
快乐大本营 天天向上
瓮中之鳖 瓮中捉鳖
诗经 论语
聊斋 画皮
华胥引 枕上书
爱我中华 走向复兴
东非大裂谷 亚马逊平原
贡菊 野菊
遗传 变异
热带 亚热带
副热带高压 赤道低压
陆地 海洋
键盘 鼠标
阿富汗 伊朗
马刺 热火
何炅 谢娜
清华 北大
高考 中考
耄耋 古稀
工商管理 市场营销
奥运会 世博会
地铁 高铁
四川平原 黄土高原
粤 沪
布置 部署
美丽中国 生态文明
奥利奥 好丽友
迪拜 阿拉斯加
李安 张艺谋
李准基 李敏镐
粤剧 越剧
台风 洪涝
高富帅 矮矬穷
白富美 土肥圆
维生素 氨基酸
龙虾 海参
五步蛇 眼镜蛇
关关雎鸠 蒹葭苍苍
但丁 莫言
旺旺仙贝 旺旺雪饼
墙头草 窝边草
阿哥 格格
三国 水浒
秦腔 呼麦
古典主义 浪漫主义
散文 诗歌
汪星人 喵星人
单词 短语
集合 元素
双曲线 抛物线
铁塔 水库
口红 面膜
五行 八卦
造纸术 印刷术
南京条约 辛丑条约
布娃娃 洋娃娃
神庙逃亡 地铁跑酷
熊大 熊二
汉字 文字
开心 高兴
感激 感谢
闲人免进 男士止步
微博 说说
粉条 粉丝
牛排 烤肉
跳台 跳板
布丁 果冻
山寨货 冒牌货
领结 蝴蝶结
平板电脑 平板手机
奢侈品 古董
奶茶 咖啡
非洲人 黑种人
美国人 白种人
钓鱼岛 黄岩岛
嫁出去的媳妇 泼出去的水
点心 零食
贝壳 海螺
男孩 男生
重庆话 四川话
肚皮舞 钢管舞
文艺青年 小清新
平凡 普通
事实 真相
幽默 玩笑
谎言 假相
喉咙 嗓子
何炅 郭敬明
贡献 付出
发言 出声
降临 诞生
风趣 风情
列表 表格
冤枉 委屈
间谍 卧底
解释 争辩
玩家 赢家
尝试 开始
结束 暂停
模糊 相近
女神 男神
红毯 地毯
姐姐 妹妹
生病 住院
简单 简朴
听众 观众
希望 愿望
破裂 消失
时间 时光
珍惜 呵护
那些年我们一起追过的女孩 致我们即将失去的青春
夫妻 父女
回家的诱惑 回家的欲望
女人的诱惑 女人的抉择
珊瑚礁 海草
胸罩 乳贴
蕾丝 杜蕾斯
苍井空 滨崎步
基金 股票
外星人 皮卡丘
人口呼吸 法式香吻
二郎腿 劈腿
阳澄湖大闸蟹 大闸蟹
香烟 吗啡
尴尬 紧张
丁字裤 超短裙
东坡肉 臭豆腐
占星学 星座学
信仰 梦想
屌丝 二逼青年
大叔 怪蜀黍
重金属 朋克
洋葱 生姜
原声带 纯天然
彩虹 朝霞
歌声 旋律
冰雨 酸雨
舞娘 小镇姑娘
钢笔 铅笔
笑脸 微笑
守护 保护
地瓜 番薯
吊灯 台灯
挎包 背包
游泳 跳水
风油精 白花油
钉子 螺丝
毯子 被子
杯具 洗具
钻石 水晶
玛瑙 琥珀
双面胶 固体胶
硬盘 软盘
窗花 剪纸
薄荷 香草
茉莉 桂花
神秘 神奇
巧妙 奇妙
惊叹 惊奇
惊异 惊奇
奇特 奇异
忠诚 真诚
普遍 普通
细微 细小
渺小 微小
描绘 描述
猛烈 强烈
罕见 少见
围绕 环绕
规划 计划
明丽 明艳
期待 等待
赏识 赞赏
琢磨 思索
飞驰 奔驰
宽广 广阔
偶然 偶尔
硕大 巨大
幽静 幽寂
沉静 寂静
吸取 汲取
萌芽 发芽
思考 思索
屹立 矗立
渴望 渴求
陈设 陈列
疲劳 疲惫
惊恐 害怕
诞生 降生
凄苦 凄凉
绚烂 灿烂
寂寞 孤独
刹那 瞬间
凝视 凝望
炽热 炽烈
殷勤 热情
摇曳 摇晃
沉思 深思
分辩 辩解
迷蒙 迷茫
屹立 耸立
思量 思索
见谅 原谅
照料 照顾
立即 立刻
夸奖 表扬
命令 指示
热闹 喧哗
爱护 爱惜
果然 果真
激动 激荡
聚集 集合
富裕 宽裕
兴旺 兴盛
勤奋 勤劳
炫耀 夸耀
积蓄 积攒
争执 争吵
危急 紧急
从容 镇定
嘱咐 叮嘱
温柔 温和
居然 竟然
缘故 原因
预备 准备
遨游 漫游
眺望 遥望
指望 希望
感叹 感慨
显然 慷慨
大海 大洋
打针 吊针
飞机 火箭
战斗机 直升机
网球 乒乓球
男孩 男人
老公 男朋友
正太 大叔
冰棍 甜筒
皮鞋 布鞋
丢失 丢弃
闹钟 时钟
奇艺 搜狐
海陆 海路
万茜 万千
牛肉 羊肉
交警 警察
城管 保安
英雄 和平
守护神 小天使
放大镜 缩小镜
万花筒 望远镜
海星 海蜇
打卤面 炸酱面
签名照 明信片
卡贴 卡套
七喜 雪碧
香约奶茶 香飘飘奶茶
店铺 商铺
刘邦 刘备
爸 爹
娘 妈
木喜 水喜
萌 呆
金甲战士 迪迦奥特曼
佳航 舒航
元芳体 甄嬛体
航茜 航晟
迦楼罗 伽罗楼
孩儿面 郁美净
哪吒 红孩儿
关心 爱护
万里无云 晴空万里
文天祥 李大钊
建议 意见
词牌名 曲牌名
火烧眉毛 十万火急
思密达 雅蠛蝶
火辣辣 热乎乎
美羊羊 红太狼
二黄 西皮
披头士 甲壳虫
绑票 绑匪
梅兰芳 梅葆玖
泡芙 泡面
卧底 平民
黄钻 红钻
翡翠 翠玉
蛇皮袋 购物袋
刹车 阀门
针线 针脚
梅花桩 八卦阵
游泳圈 救生圈
有限责任公司 无限责任公司
阿弥陀佛 善哉善哉
哈利路亚 真主阿拉
屌丝 女屌丝
炒饭 炒米
爆米花 玉米花
齐如山 吴菱仙
艺术照 免冠照
复印 打印
版权 专利
皮箍 皮筋
紧箍咒 金箍棒
玉净瓶
高腰 低腰
青丝 黑发
中二病 幻想症
忧郁症 自闭症
武侠 仙侠
修真 修仙
辛德瑞拉 奥利维拉
没头脑 不高兴
浮士德 锦鲤抄
田馥甄 桂纶镁
王力宏 谢霆锋
找你妹 切西瓜
保卫萝卜 神庙逃亡
魔兽世界 英雄联盟
牵挂 记挂
汉服 古装
斯诺登 奥巴马
动漫 动画片
疯人院 精神病
一切皆有可能 非一般的感觉
龙舟 粽子
三星手机 小米手机
苹果手机 联想手机
悲剧 杯具
喜剧 洗具
茶几 吧台
唐三 小舞
戴沐白 朱竹清
足球 篮球
照相 照片
因特网 互联网
酸奶 纯奶
斗罗大陆 唐家三少
辣椒 胡椒
面粉 淀粉
番薯 土豆
野兔 家兔
野鸡 野鸭
水牛 黄牛
青蛙 蛤蟆
青椒 菜椒
千层面 千层饼
西红柿 红番茄
青菜 芹菜
韭菜 香菜
葱头 洋葱
蒜头 大蒜
武媚娘 武则天
天气 气候
黑熊 灰熊
虎鲨 鲸鲨
鲸鱼 虎鲸
虎鲸 虎鲨
短嘴鳄 鳄鱼
鱿鱼 章鱼
丹参 党参
存储 储存
清楚 删除
禁用 禁止
代码 编码
编程 编写
证件 证明
单认证 双认证
往返 来往
草莓 红莓
雀巢 鸟巢
奶牛 母牛
超清 高清
五五六六 七七八八
提醒 提示
体育 运动
医生 医者
护士 护工
泡泡糖 口香糖
环游世界 四处旅游
全屏 满屏
刀 剑
杀手 凶手
监牢 监狱
田 地
草莓鼻 酒糟鼻
刷新 更新
情绪 心情
录影机 摄影机
录像机 摄像机
照相 拍照
亲吻 接吻
不守规则 不守规矩
流星 彗星
电饭锅 电饭煲
蛋清 蛋白
番茄 蔬菜
外人 老外
老乡 同乡
新浪微博 腾讯微博
海外 国外
配件 零件
核桃 桃核
葵花籽 西瓜籽
三八节 妇女节
尽力 尽量
桔子 橘子
糕点 甜点
脸 面
稻子 谷子
麦片 燕麦
尿包 尿布
海龟 乌龟
中药 草药
药丸 药片
调皮 淘气
美女 美眉
情人 恋人
爱恋 迷恋
兄弟 哥们
金刚钻 钻石
白金 黑金
水晶 玻璃
玛瑙 翡翠
海带 海菜
海藻 海苔
同性恋 蕾丝边
双性恋 异性恋
保时捷 兰博基尼
悍马 林肯
外套 外衣
神曲 忐忑
后退 退后
推迟 延迟
总收入 营业额
太上老君 太白金星
王祖蓝 大张伟
绿巨人 吸血鬼
嗨 哈喽
自恋 自刎
爱 恨
毛绒绒 软绵绵
李白 李渊
华山 嵩山
可爱 可怜
斗破苍穹 武动乾坤
头发 眉毛
萧炎 林动
女王 女皇
指鹿为马 指桑骂槐
